Id,Address_State,Application_Type,Emp_Length,Emp_Title,Grade,Home_Ownership,Issue_Date,Last_Credit_Pull_Date,Last_Payment_Date,Loan_Status,Next_Payment_Date,Member_Id,Purpose,Sub_Grade,Term,Verification_Status,Annual_Income,Dti,Installment,Int_Rate,Loan_Amount,Total_Acc,Total_Payment
1077430,Georgia,INDIVIDUAL,< 1 year,Ryder,C,RENT,2/11/2021,9/13/2021,4/13/2021,Charged Off,5/13/2021,1314167,Car,C4, 60 months,Source Verified,30000,0.01,59.83,0.1527,2500,4,1009
1072053,California,INDIVIDUAL,9 years,Mkc Accounting,E,RENT,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1288686,Car,E1, 36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939
1069243,California,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,1/5/2021,12/12/2021,1/9/2021,Charged Off,2/9/2021,1304116,Car,C5, 36 months,Not Verified,50000,0.2088,421.65,0.1596,12000,11,3522
1041756,Texas,INDIVIDUAL,< 1 year,Barnes Distribution,B,MORTGAGE,2/25/2021,12/12/2021,3/12/2021,Fully Paid,4/12/2021,1272024,Car,B2, 60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911
1068350,Illinois,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1302971,Car,A1, 36 months,Verified,83000,0.0231,106.53,0.0603,3500,28,3835
1062608,California,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,7/17/2021,3/16/2021,8/12/2021,Fully Paid,9/12/2021,1294481,Car,C3, 36 months,Not Verified,28000,0.126,275.96,0.1465,8000,11,8637
1067441,Texas,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,11/19/2021,6/14/2021,12/13/2021,Fully Paid,1/13/2022,1301833,Car,C2, 36 months,Verified,94800,0.2453,205.86,0.1427,6000,30,7218
1066424,Pennsylvania,INDIVIDUAL,10+ years,Sci Mahanoy,A,OWN,6/11/2021,7/14/2021,7/14/2021,Fully Paid,8/14/2021,1291243,Car,A4, 36 months,Source Verified,59000,0.0665,172.1,0.079,5500,23,6172
1065254,Florida,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,9/2/2021,6/15/2021,10/12/2021,Charged Off,11/12/2021,1299335,Car,A5, 36 months,Verified,116400,0.0394,762.08,0.089,24000,31,8650
1064589,Michigan,INDIVIDUAL,10+ years,Teltow Contracting,B,MORTGAGE,2/9/2021,3/16/2021,3/16/2021,Fully Paid,4/16/2021,1298401,Car,B5, 60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551
1057766,Texas,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,7/22/2021,9/13/2021,8/13/2021,Fully Paid,9/13/2021,1289131,Car,B5, 36 months,Not Verified,75000,0.088,181.15,0.1269,5400,33,6277
1062734,California,INDIVIDUAL,3 years,Myrvpartsplace.Com,B,RENT,9/11/2021,3/13/2021,10/12/2021,Charged Off,11/12/2021,1295018,Car,B4, 36 months,Not Verified,75000,0.2288,374.26,0.1242,11200,13,4225
1062654,California,INDIVIDUAL,4 years,Aeg Live,B,RENT,8/11/2021,10/13/2021,9/13/2021,Fully Paid,10/13/2021,1294929,Car,B3, 36 months,Not Verified,35000,0.0401,165.38,0.1171,5000,3,5728
1020855,California,INDIVIDUAL,5 years,Henkel Corporation,B,RENT,12/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1249642,Car,B5, 36 months,Not Verified,48000,0.1533,268.36,0.1269,8000,15,9661
1060945,Illinois,INDIVIDUAL,4 years,Axa Assistance,B,RENT,10/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1293124,Car,B4, 36 months,Not Verified,92000,0.106,200.5,0.1242,6000,18,7218
1060995,Rhode Island,INDIVIDUAL,< 1 year,Hsa-Uwc,B,RENT,12/11/2021,2/14/2021,10/13/2021,Charged Off,11/13/2021,1292578,Car,B4, 36 months,Source Verified,60000,0.063,400.99,0.1242,12000,14,9547
1046507,Texas,INDIVIDUAL,1 year,Child'S Day,B,RENT,12/2/2021,4/16/2021,12/14/2021,Fully Paid,1/14/2022,1277552,Car,B1, 36 months,Verified,16800,0.035,98.29,0.0991,3050,8,3538
1059936,New York,INDIVIDUAL,4 years,Oec Freight,C,RENT,10/9/2021,9/15/2021,11/12/2021,Fully Paid,12/12/2021,1291775,Car,C2, 36 months,Source Verified,40000,0.1869,343.09,0.1427,10000,7,11156
1059497,Florida,INDIVIDUAL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,12/12/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1291322,Car,B2, 36 months,Verified,35000,0.1392,162.87,0.1065,5000,23,5863
1058060,Maryland,INDIVIDUAL,10+ years,Unknown,D,OWN,2/2/2021,5/16/2021,2/15/2021,Fully Paid,3/15/2021,1289636,Car,D1, 36 months,Not Verified,40000,0.0957,176.51,0.1629,5000,13,6361
112245,Wisconsin,INDIVIDUAL,6 years,Norman G. Olson Insurance,A,RENT,7/7/2021,4/16/2021,8/10/2021,Fully Paid,9/10/2021,112227,Car,A2, 36 months,Not Verified,40000,0.0255,155.38,0.0743,5000,7,5594
207910,Florida,INDIVIDUAL,< 1 year,Unknown,A,MORTGAGE,1/8/2021,5/16/2021,2/10/2021,Charged Off,3/10/2021,183496,Car,A2, 36 months,Not Verified,120000,0.0767,69.14,0.0743,2225,20,2508
65426,Michigan,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,8/9/2021,5/16/2021,6/11/2021,Charged Off,7/11/2021,232106,Car,B1, 36 months,Not Verified,60000,0.1108,131.22,0.1114,4000,33,2755
211723,Maryland,INDIVIDUAL,4 years,Self Employed,C,OWN,1/8/2021,12/9/2021,8/8/2021,Charged Off,9/8/2021,211606,Car,C2, 36 months,Not Verified,72000,0.0512,262.26,0.1109,8000,8,2135
662350,Nevada,INDIVIDUAL,10+ years,Clark County School District,A,MORTGAGE,1/11/2021,2/13/2021,8/12/2021,Charged Off,9/12/2021,847024,Car,A5, 36 months,Not Verified,70800,0.0795,77.95,0.0766,2500,39,1479
1006769,Pennsylvania,INDIVIDUAL,6 years,The Mount Sinai School Of Medicine,A,MORTGAGE,11/11/2021,11/13/2021,6/13/2021,Charged Off,7/13/2021,1233120,Car,A3, 36 months,Not Verified,80000,0.0648,124.45,0.0751,4000,11,2479
405898,Georgia,INDIVIDUAL,< 1 year,Blue Ridge Design Group,A,MORTGAGE,6/9/2021,5/16/2021,12/9/2021,Charged Off,1/9/2022,454145,Car,A5, 36 months,Not Verified,36000,0.15,385.14,0.0963,12000,24,2306
445846,Michigan,INDIVIDUAL,10+ years,Abbott Nutrition,A,MORTGAGE,10/9/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,544784,Car,A5, 36 months,Not Verified,45000,0.152,222.41,0.0894,7000,24,6446
659221,Michigan,INDIVIDUAL,3 years,Rice &Werthmann,A,MORTGAGE,1/11/2021,5/16/2021,10/13/2021,Charged Off,11/13/2021,843127,Car,A5, 36 months,Not Verified,86400,0.0385,280.62,0.0766,9000,10,8945
782425,Utah,INDIVIDUAL,6 years,Five County Assoc Of Governments,A,MORTGAGE,6/11/2021,5/16/2021,7/12/2021,Charged Off,8/12/2021,985412,Car,A5, 36 months,Not Verified,24600,0.0785,152.42,0.089,4800,21,1978
458328,Georgia,INDIVIDUAL,< 1 year,North Ga Dentention Center,B,MORTGAGE,1/10/2021,11/10/2021,7/10/2021,Charged Off,8/10/2021,570309,Car,B2, 36 months,Not Verified,30000,0.0992,164.85,0.1148,5000,19,884
744344,Washington,INDIVIDUAL,6 years,Unknown,B,MORTGAGE,5/11/2021,5/16/2021,1/13/2021,Charged Off,2/13/2021,942813,Car,B4, 36 months,Not Verified,48000,0.2357,197.83,0.1149,6000,27,3950
1026463,Florida,INDIVIDUAL,6 years,Sky Powersports,C,MORTGAGE,11/11/2021,4/14/2021,12/13/2021,Charged Off,1/13/2022,1255647,Car,C3, 36 months,Not Verified,60000,0.0366,217.32,0.1465,6300,10,5554
489679,Florida,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,3/10/2021,12/12/2021,7/12/2021,Charged Off,8/12/2021,624878,Car,D4, 36 months,Not Verified,34000,0.1486,210.07,0.157,6000,6,5986
519658,Georgia,INDIVIDUAL,< 1 year,Acumen Fiscal Agent/Ms Robinson,A,OWN,5/10/2021,1/12/2021,8/11/2021,Charged Off,9/11/2021,671773,Car,A5, 36 months,Not Verified,18000,0.216,148.59,0.0788,4750,16,2216
470041,California,INDIVIDUAL,10+ years,Inspired Automation Inc,A,OWN,1/10/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,593245,Car,A1, 36 months,Not Verified,43800,0.0737,148.32,0.0705,4800,7,3210
393852,New Hampshire,INDIVIDUAL,10+ years,Self,B,OWN,5/9/2021,6/11/2021,1/11/2021,Charged Off,2/11/2021,432187,Car,B4, 36 months,Not Verified,98736,0.0812,50.58,0.1189,9000,19,1045
725534,Texas,INDIVIDUAL,1 year,Able Electronics,B,OWN,4/11/2021,12/13/2021,7/13/2021,Charged Off,8/13/2021,920793,Car,B4, 36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655
428387,Pennsylvania,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,7/9/2021,5/16/2021,10/9/2021,Charged Off,11/9/2021,506847,Car,C2, 36 months,Not Verified,27852,0.1021,141.2,0.1284,4200,28,282
783561,California,INDIVIDUAL,6 years,La Curacao,A,RENT,6/11/2021,6/12/2021,2/12/2021,Charged Off,3/12/2021,986688,Car,A4, 36 months,Not Verified,48000,0.2585,186.61,0.0749,6000,16,1575
969474,Hawaii,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,10/11/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,1190684,Car,A5, 36 months,Not Verified,30000,0.1872,228.63,0.089,7200,25,5845
773111,Washington,INDIVIDUAL,3 years,Urs Corp,A,RENT,6/11/2021,4/14/2021,11/13/2021,Charged Off,12/13/2021,975126,Car,A5, 36 months,Not Verified,22800,0.0526,75.76,0.0849,2400,3,2278
472634,Florida,INDIVIDUAL,1 year,Walmart,A,RENT,12/9/2021,4/11/2021,11/10/2021,Charged Off,12/10/2021,596856,Car,A1, 36 months,Not Verified,12720,0,231.75,0.0705,7500,9,2073
494891,Massachusetts,INDIVIDUAL,5 years,Edgestream Inc,B,RENT,3/10/2021,4/16/2021,3/11/2021,Charged Off,4/11/2021,633723,Car,B5, 36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083
458797,Nevada,INDIVIDUAL,8 years,Mad Matt'S Bar & Grille,B,RENT,11/9/2021,11/11/2021,7/11/2021,Charged Off,8/11/2021,571361,Car,B2, 36 months,Not Verified,89650,0.0056,725.31,0.1148,22000,19,15424
743690,Oklahoma,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,5/11/2021,2/15/2021,6/12/2021,Charged Off,7/12/2021,942003,Car,B5, 36 months,Not Verified,45000,0.1464,332.1,0.1199,10000,18,4553
384963,New Jersey,INDIVIDUAL,10+ years,Pesci Family,B,RENT,3/9/2021,7/11/2021,3/11/2021,Charged Off,4/11/2021,416412,Car,B1, 36 months,Not Verified,39996,0.2298,261.71,0.1095,8000,43,6197
508426,Ohio,INDIVIDUAL,< 1 year,Forum Health,B,RENT,5/10/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,656002,Car,B4, 36 months,Not Verified,49800,0.174,163.68,0.1099,5000,13,3110
402318,Illinois,INDIVIDUAL,8 years,River Trails Park District,B,RENT,5/9/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,446914,Car,B5, 36 months,Not Verified,15000,0.1688,106.61,0.1221,3200,19,3140
359401,California,INDIVIDUAL,2 years,Dms Marketing,C,RENT,10/8/2021,5/16/2021,9/9/2021,Charged Off,10/9/2021,366581,Car,C3, 36 months,Not Verified,48000,0.1753,200.47,0.1241,6000,14,5104
290803,Texas,INDIVIDUAL,< 1 year,Nesle,C,RENT,3/8/2021,12/10/2021,8/10/2021,Charged Off,9/10/2021,290796,Car,C2, 36 months,Not Verified,37440,0.0772,98.7,0.1134,3000,14,2798
847836,Arizona,INDIVIDUAL,7 years,24 Hour Fitness,C,RENT,8/11/2021,5/16/2021,5/13/2021,Charged Off,6/13/2021,1059380,Car,C3, 36 months,Not Verified,105000,0.135,382.74,0.1399,11200,29,8037
362098,Florida,INDIVIDUAL,2 years,Starbucks,D,RENT,11/8/2021,1/11/2021,8/10/2021,Charged Off,9/10/2021,371139,Car,D2, 36 months,Not Verified,15000,0.14,136.08,0.1367,4000,13,2685
1044994,California,INDIVIDUAL,4 years,Urs Corp,D,RENT,12/11/2021,5/16/2021,3/14/2021,Charged Off,4/14/2021,1275383,Car,D2, 36 months,Not Verified,59100,0.1287,106.62,0.1677,3000,13,2772
734343,New York,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,4/11/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,930853,Car,B2, 36 months,Not Verified,126000,0.1529,193.61,0.1,6000,22,5796
126392,Wisconsin,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,9/7/2021,8/7/2021,4/8/2021,Fully Paid,5/8/2021,125914,Car,A4, 36 months,Not Verified,173000,0.0072,313.67,0.0807,10000,41,10435
269289,Connecticut,INDIVIDUAL,< 1 year,Mdm Golf,A,MORTGAGE,3/8/2021,1/11/2021,10/10/2021,Fully Paid,11/10/2021,260821,Car,A5, 36 months,Not Verified,60000,0.0894,316.28,0.0863,10000,27,11340
266282,Texas,INDIVIDUAL,5 years,"Netvida Marketing, Inc.",B,MORTGAGE,2/8/2021,5/10/2021,5/10/2021,Fully Paid,6/10/2021,188654,Car,B2, 36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149
243406,New Jersey,INDIVIDUAL,9 years,Ck General Construction,B,MORTGAGE,2/8/2021,9/12/2021,2/11/2021,Fully Paid,3/11/2021,243089,Car,B2, 36 months,Not Verified,200000,0.0484,192.93,0.0976,6000,22,6945
226154,Minnesota,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,1/8/2021,1/11/2021,2/11/2021,Fully Paid,3/11/2021,225530,Car,E1, 36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146
253727,Washington,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,2/8/2021,9/10/2021,9/10/2021,Fully Paid,10/10/2021,253715,Car,A5, 36 months,Not Verified,10000,0,142.33,0.0863,4500,6,5096
196380,California,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,1/8/2021,2/10/2021,2/10/2021,Fully Paid,3/10/2021,188466,Car,A4, 36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247
206181,Massachusetts,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,1/8/2021,4/16/2021,4/10/2021,Fully Paid,5/10/2021,167318,Car,A1, 36 months,Not Verified,28800,0,108.27,0.0712,3500,5,3863
219070,Colorado,INDIVIDUAL,2 years,Arborist Services,B,RENT,2/8/2021,9/10/2021,9/10/2021,Fully Paid,10/10/2021,219037,Car,B5, 36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982
219000,Washington,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,1/8/2021,1/11/2021,1/11/2021,Fully Paid,2/11/2021,218997,Car,B1, 36 months,Not Verified,37000,0.1674,175.42,0.092,5500,36,6320
281384,Tennessee,INDIVIDUAL,< 1 year,Church Of God Of Prophecy,C,RENT,3/8/2021,3/11/2021,3/11/2021,Fully Paid,4/11/2021,281309,Car,C3, 36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164
120525,Virginia,INDIVIDUAL,1 year,Starbucks,C,RENT,8/7/2021,6/11/2021,8/10/2021,Fully Paid,9/10/2021,120227,Car,C3, 36 months,Not Verified,18000,0.18,130.79,0.1091,4000,5,4708
253987,Virginia,INDIVIDUAL,2 years,Comcast,C,RENT,2/8/2021,5/16/2021,6/10/2021,Fully Paid,7/10/2021,253974,Car,C1, 36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498
450292,Connecticut,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,10/9/2021,2/16/2021,10/12/2021,Fully Paid,11/12/2021,553755,Car,A2, 36 months,Not Verified,85000,0.0239,136.66,0.074,4400,19,4920
401775,Georgia,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,5/9/2021,5/12/2021,5/12/2021,Fully Paid,6/12/2021,446077,Car,A2, 36 months,Not Verified,28500,0.0223,265.13,0.0768,8500,10,9544
373881,Texas,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,1/9/2021,2/11/2021,2/11/2021,Fully Paid,3/11/2021,394401,Car,A2, 36 months,Not Verified,40308,0.0578,155.96,0.0768,5000,19,5422
973780,Texas,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,10/11/2021,10/14/2021,10/14/2021,Fully Paid,11/14/2021,1195796,Car,A2, 36 months,Not Verified,149400,0.0994,214.93,0.0662,7000,43,7737
750759,Wisconsin,INDIVIDUAL,1 year,Brp Us Inc,A,MORTGAGE,6/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,950147,Car,A2, 36 months,Not Verified,54000,0.1129,60.84,0.0599,2000,18,2190
745149,Ohio,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,5/11/2021,5/16/2021,5/14/2021,Fully Paid,6/14/2021,943695,Car,A3, 36 months,Not Verified,38400,0.0319,74.1,0.0699,2400,7,2667
775926,Missouri,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,6/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,978223,Car,A4, 36 months,Not Verified,60000,0.0242,149.29,0.0749,4800,6,5374
651079,Rhode Island,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,1/11/2021,1/14/2021,1/14/2021,Fully Paid,2/14/2021,832879,Car,A4, 36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466
627209,Maryland,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,12/10/2021,10/14/2021,12/13/2021,Fully Paid,1/13/2022,803704,Car,A1, 36 months,Not Verified,31000,0.0283,241.28,0.0542,8000,17,8686
781516,Missouri,INDIVIDUAL,10+ years,State Of Missouri Department Of Correcti,A,MORTGAGE,6/11/2021,7/11/2021,8/11/2021,Fully Paid,9/11/2021,984370,Car,A1, 36 months,Not Verified,33600,0.0161,90.48,0.0542,3000,15,3014
971771,California,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,10/11/2021,5/16/2021,10/14/2021,Fully Paid,11/14/2021,1193520,Car,A1, 36 months,Not Verified,64320,0.025,243.49,0.0603,8000,17,8765
796355,Rhode Island,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,6/11/2021,4/16/2021,7/14/2021,Fully Paid,8/14/2021,1001198,Car,A1, 36 months,Not Verified,79200,0.0218,150.8,0.0542,5000,28,5429
868443,Delaware,INDIVIDUAL,10+ years,Bank Of America,A,MORTGAGE,9/11/2021,5/16/2021,4/14/2021,Fully Paid,5/14/2021,1082151,Car,A1, 36 months,Not Verified,63996,0.0651,96.52,0.0542,3200,26,3468
683816,New York,INDIVIDUAL,10+ years,Operating Engineers Local 158,A,MORTGAGE,3/11/2021,9/11/2021,9/11/2021,Fully Paid,10/11/2021,873188,Car,A1, 36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556
1023029,Pennsylvania,INDIVIDUAL,10+ years,Williams Service Co,A,MORTGAGE,11/11/2021,11/14/2021,12/14/2021,Fully Paid,1/14/2022,1251828,Car,A1, 36 months,Not Verified,72000,0.1782,152.18,0.0603,5000,37,5478
886517,New Mexico,INDIVIDUAL,10+ years,"C&E Concrete,Inc.",A,MORTGAGE,9/11/2021,9/14/2021,10/14/2021,Fully Paid,11/14/2021,1102391,Car,A1, 36 months,Not Verified,41784,0.1872,152.18,0.0603,5000,22,5478
1001581,Texas,INDIVIDUAL,10+ years,Basf Corporation,A,MORTGAGE,10/11/2021,5/16/2021,10/13/2021,Fully Paid,11/13/2021,1227382,Car,A1, 36 months,Not Verified,96000,0.238,182.62,0.0603,6000,27,6493
1004019,New York,INDIVIDUAL,10+ years,Village Of Solvay Dpw,A,MORTGAGE,10/11/2021,4/16/2021,8/14/2021,Fully Paid,9/14/2021,1230439,Car,A1, 36 months,Not Verified,54000,0.2407,182.62,0.0603,6000,32,6569
675716,Nevada,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,2/11/2021,4/14/2021,3/14/2021,Fully Paid,4/14/2021,863546,Car,A1, 36 months,Not Verified,36000,0.2293,271.44,0.0542,9000,47,9772
887254,Minnesota,INDIVIDUAL,10+ years,City Of West St Paul,A,MORTGAGE,10/11/2021,5/16/2021,11/14/2021,Fully Paid,12/14/2021,1103400,Car,A1, 36 months,Not Verified,114000,0.1658,219.14,0.0603,7200,52,7889
865714,Texas,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,9/11/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,1078994,Car,A1, 36 months,Not Verified,48000,0.1732,170.41,0.0542,5650,32,6067
770503,Louisiana,INDIVIDUAL,10+ years,Lsu Medical Center Of Louisiana,A,MORTGAGE,6/11/2021,1/12/2021,1/12/2021,Fully Paid,2/12/2021,972180,Car,A2, 36 months,Not Verified,39600,0.1406,182.51,0.0599,6000,32,6194
